Hotel_name,Adresse,Description,Distance,Details_Link
 Dar Khaled ,  Houmt Souk   ," Bénéficiant d'une réception ouverte 24h/24, le Dar Khaled est idéalement situé à Midoun, à 600 mètres de la plage de Sidi Mahrez et à 1,6 km de celle de Mezraia.  ",,https://www.booking.com/hotel/tn/dar-jerba.fr.html
 Dar Cesar ,  Houmt Souk   ," Doté d'un jardin, d'une piscine extérieure ouverte en saison et offrant une vue sur le jardin, le Dar Cesar est situé à Houmt Souk. Cet hébergement climatisé se trouve à 7 km d'Erriadh.  ",,https://www.booking.com/hotel/tn/dar-cesar-djerba.fr.html
 Villa Hekma ,  Triffa   ," Dotée d'un jardin, d'une piscine extérieure et d'une vue sur la piscine, la Villa Hekma est située à Houmt Souk. Cet hébergement climatisé se trouve à 9 km d'Erriadh.  ",,https://www.booking.com/hotel/tn/villa-hekma.fr.html
 Hotel Venice Beach ,  Houmt Souk   ," Bénéficiant d'une plage privée, l'Hotel Venice Beach est situé à Triffa. Il propose de nombreuses installations comme une piscine extérieure, un court de tennis et un barbecue.  ",,https://www.booking.com/hotel/tn/venice-beach.fr.html
 hotel arisha ,  Mezraya   ," L'Hotel arisha de Houmt Souk propose un bar, un jardin, une terrasse, une réception ouverte 24h/24, une connexion Wi-Fi gratuite dans l’ensemble de ses locaux, un restaurant et un service d’étage.  ",,https://www.booking.com/hotel/tn/arisha.fr.html
 Dar Leyla ,  Houmt Souk   ," Situé à Mezraya, le Dar Leyla dispose d'une piscine extérieure, d'un jardin et d'un barbecue. Cet hébergement climatisé se trouve à 17 km d'Erriadh.  ",,https://www.booking.com/hotel/tn/dar-leyla.fr.html
 Hôtel Sindbad ,  Ajim   ," Situé au cœur de Djerba, l'Hotel Sindbad est entouré de boutiques d'artisanat et de bijouteries. Ses chambres s'ouvrent sur un balcon commun donnant sur une grande cour extérieure.  ",,https://www.booking.com/hotel/tn/sindbad-houmt-souk.fr.html
 Dar Bolbol ,  Houmt Souk   ," Située à Ajim, à 14 km d'Erriadh, la villa Dar Bolbol dispose d'une piscine privée, d'une connexion Wi-Fi gratuite et de la climatisation. Un espace de stationnement privé est accessible sur place.  ",,https://www.booking.com/hotel/tn/dar-bolbol.fr.html
 Hotel Checkin Bakour Splash ,  Mezraya   ," Situé à Houmt Souk, à 500 mètres de la plage de Sidi Mahrez et à 700 mètres de celle de Mezraia, l’Hotel Checkin Bakour Splash possède un restaurant, un bar, une terrasse, une connexion Wi-Fi gratuite... ",,https://www.booking.com/hotel/tn/checkin-djerba-bakour-beach.fr.html
 Appart Hotel Rodes ,  Mezraya   ," L'Appart Hotel Rodes est situé à Djerba, à seulement 14 kilomètres d'Houmt Souk. L'hôtel possède une piscine extérieure et un spa de balnéothérapie avec un hammam et des soins relaxants.  ",,https://www.booking.com/hotel/tn/appart-rodes.fr.html
 Dar El Jerbi ,  Midoun   ," Boasting an outdoor swimming pool, a garden as well as a terrace, Dar El Jerbi is situated in Mezraya, within 2.6 km of Mezraia Beach. The bed and breakfast offers a buffet or halal breakfast. ",,https://www.booking.com/hotel/tn/dar-el-jerbi.fr.html
 villa royal de midoun 3 suite ,  Midoun   ," Située à Midoun, à 17 km d'Erriadh, la Villa royal de midoun 3 suite dispose d'une piscine extérieure, d'un jardin, d'une terrasse, d'une connexion Wi-Fi gratuite et de la climatisation.  ",,https://www.booking.com/hotel/tn/villa-royal-de-midoun-3-suite.fr.html
 Residence Djerba , Gérer les paramètres de confidentialité," Située à Midoun, à 1,2 km de la plage du Meridiana et à 1,3 km de celle de Sidi Mahrez, la Residence Djerba propose une terrasse, une piscine extérieure ouverte en saison ainsi que des hébergements... ",,https://www.booking.com/hotel/tn/residence-djerba.fr.html
 Dar Dina : peaceful paradise in Djerba ,  Houmt Souk   ," Situé à Houmt Souk, le Dar Dina: Peaceful paradise in Djerba propose un service de prêt de vélos, une piscine extérieure et un bar.  ",,https://www.booking.com/hotel/tn/dar-dina-peaceful-paradise-in-djerba.fr.html
 Villa Dar El Jedoud ,  Houmt Souk   ," Située à Houmt Souk, à 8 km d'Erriadh, la Wonderful Villa 3 BHK est un hébergement climatisé bénéficiant d'une piscine extérieure, d'un salon commun et d'un jardin.  ",,https://www.booking.com/hotel/tn/wonderful-villa-3-bhk.fr.html
 appartement barnatt ,  Midoun   ," Situé à Houmt Souk, dans la région de Djerba, à 7 km d'Erriadh, l'appartement barnatt bénéficie d'une terrasse, d'une vue sur le jardin et de la climatisation.  ",,https://www.booking.com/hotel/tn/appartement-barnatt.fr.html
